keyword;page;sku_name;price;sold;gmv_estimation
Matoa;2;BIBIT TANAMAN MATOA SUPER MANIS;17500;30;525000
Matoa;2;Paket 3 Bibit Matoa Super Unggul Berkhualitas;76200;0;0
Matoa;3;buah matoa papua fresh / buah fresh matoa superan - 1 KG;60000;5;300000
Matoa;3;Buah Matoa Papua 3Rasa Duren+Rambutan+Klengkeng Harga Grosir 500gr - 500gr;25425;500;12712500
Matoa;3;Buah Matoa dari Papua 3rasa Duren-Klengkeng-Rambutan Murah Fresh 250gr;13255;2000;26510000
Matoa;3;bibit tanaman buah Matoa okulasi;40000;16;640000
Matoa;3;Buah Matoa Papua 3Rasa Duren+Rambutan+Klengkeng Harga Grosir 250gr;12715;250;3178750
Matoa;3;Buah Matoa Segar Perpack ;65000;3;195000
Matoa;3;buah matoa fresh 1 kg;53900;2;107800
Matoa;3;buah matoa 1kg fresh;50000;70;3500000
Matoa;3;Bibit Tanaman Buah Matoa Okulasi Stek TGBU1;17000;18;306000
Matoa;3;Bibit Pohon Matoa - Buah Matoa - Tanaman Island Lychee - Mirip Leci;17000;100;1700000
Matoa;3;Pupuk organik booster matoa agar cepat berbuah lebat subur;14500;20;290000
Matoa;3;buah pear hijau packham 1kg;65000;80;5200000
Matoa;3;Pupuk Matoa Booster, Pupuk Organik Tanaman Buah, Penyubur Bibit Buah;35000;14;490000
Matoa;3;buah pear fresh 1 kg;50000;70;3500000
Matoa;3;BIBIT BUAH MATOA ATAU KELENGKENG IRIAN unggul;55000;5;275000
Matoa;3;buah matoa manis fresh 1kg;135000;6;810000
Matoa;3;Bibit Tanaman Buah Matoa;35000;28;980000
Matoa;3;Buah Matoa Segar 1kg / peck;99550;11;1095050
Matoa;3;Buah Matoa Segar Manis ada 3rasa /1kg;90000;4;360000
Matoa;3;buah matoa 500gr;35000;10;350000
Matoa;3;Buah Matoa Dari Papua 3rasa fresh;155000;13;2015000
Matoa;3;Matoa / 1Kg;31000;100;3100000
Matoa;3;Bibit buah Red Matoa 1,5 Meter Aslil Papua;150000;2;300000
Matoa;3;Bibit Buah Matoa Manis Garansi Valid;78500;2;157000
Matoa;3;2 Bibit Buah Matoa Super Manis;9000;40;360000
Matoa;3;buah kiwi hijau ( 500 gram);55000;70;3850000
Matoa;3;BIBIT BUAH MATOA ATAU BUAH KELENGKENG IRIAN UNGGUL;50000;2;100000
Matoa;3;nanas madu ( perbuah);20000;250;5000000
Matoa;3;BUAH NIPAH KUPAS;55000;5;275000
Matoa;3;Buah Rambutan Binjai Manis Garing Nglotok Enak Segar Fresh 500gr - 500gr;9975;250;2493750
Matoa;3;bibit tanaman buah Matoa okulasi;40000;16;640000
Matoa;3;buah matoa segar;35000;30;1050000
Matoa;3;PROMO 5 BIBIT MATOA MERAH/ MATOA HIJAU ADA SUPER UNGGUL;100000;0;0
Matoa;3;buah matoa 1 kg;55000;40;2200000
Matoa;3;buah matoa 1 kg;59000;0;0
Matoa;3;BIBIT POHON MATOA JENIS OKULASI - CANGKOK PEMBIBITAN TBTJ15;146000;0;0
Matoa;3;Bibit Pohon Matoa - Tanaman Buah Matoa - Buah Langka;30000;28;840000
Matoa;3;MATOA IRIANJAYA BUAH FRESH SEGAR MANIS PANEN PILIHAN PREMIUM TERLARIS;55888;3;167664
Matoa;3;PROMO TERBATAS bibit matoa merah 1,5m;314000;0;0
Matoa;3;Bibit Buah Matoa merah Jumbo ±2 Meter - Hasil Okulasi Berkualitas;100000;0;0
Matoa;3;KING FRUIT Durian Super Montong Premium Durian 500 gram;115000;3000;345000000
Matoa;3;Durian Medan Kupas Beku Frozen 500 gr;23000;0;0
